  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1983, 05,   30451, 1983.3699,   348.18,   343.24,     348.72,   343.78,     348.18,   343.24
1983, 06,   30482, 1983.4548,   348.26,   345.70,     346.43,   343.97,     348.26,   345.70
1983, 07,   30512, 1983.5370,   340.23,   345.12,     339.11,   344.14,     340.23,   345.12
1983, 08,   30543, 1983.6219,   331.92,   342.46,     333.75,   344.32,     331.92,   342.46
1983, 09,   30574, 1983.7068,   335.75,   344.24,     336.07,   344.49,     335.75,   344.24
1983, 10,   30604, 1983.7890,   341.14,   344.90,     340.96,   344.65,     341.14,   344.90
1983, 11,   30635, 1983.8740,   345.79,   345.68,     344.96,   344.80,     345.79,   345.68
1983, 12,   30665, 1983.9562,   346.35,   343.61,     347.72,   344.94,     346.35,   343.61
1984, 01,   30696, 1984.0410,   349.36,   345.41,     349.03,   345.08,     349.36,   345.41
1984, 02,   30727, 1984.1257,   350.96,   346.44,     349.72,   345.20,     350.96,   346.44
1984, 03,   30756, 1984.2049,   350.31,   345.55,     350.06,   345.30,     350.31,   345.55
1984, 04,   30787, 1984.2896,   349.74,   345.11,     350.03,   345.40,     349.74,   345.11
1984, 05,   30817, 1984.3716,   350.87,   345.90,     350.45,   345.48,     350.87,   345.90
1984, 06,   30848, 1984.4563,   348.87,   346.39,     347.94,   345.56,     348.87,   346.39
1984, 07,   30878, 1984.5383,   340.18,   345.23,     340.45,   345.63,     340.18,   345.23
1984, 08,   30909, 1984.6230,   335.44,   346.08,     335.05,   345.70,     335.44,   346.08
1984, 09,   30940, 1984.7077,   338.45,   346.96,     337.34,   345.78,     338.45,   346.96
1984, 10,   30970, 1984.7896,   341.31,   345.06,     342.17,   345.85,     341.31,   345.06
1984, 11,   31001, 1984.8743,   344.56,   344.44,     346.10,   345.93,     344.56,   344.44
1984, 12,   31031, 1984.9563,   347.97,   345.21,     348.81,   346.02,     347.97,   345.21
1985, 01,   31062, 1985.0411,   349.52,   345.55,     350.11,   346.13,     349.52,   345.55
1985, 02,   31093, 1985.1260,   349.15,   344.60,     350.80,   346.25,     349.15,   344.60
1985, 03,   31121, 1985.2027,   350.61,   345.82,     351.16,   346.36,     350.61,   345.82
1985, 04,   31152, 1985.2877,   351.12,   346.47,     351.16,   346.50,     351.12,   346.47
1985, 05,   31182, 1985.3699,   352.56,   347.55,     351.65,   346.64,     352.56,   347.55
1985, 06,   31213, 1985.4548,   349.78,   347.19,     349.28,   346.78,     349.78,   347.19
1985, 07,   31243, 1985.5370,   343.77,   348.73,     341.82,   346.91,     343.77,   348.73
1985, 08,   31274, 1985.6219,   337.25,   347.93,     336.33,   347.04,     337.25,   347.93
1985, 09,   31305, 1985.7068,   338.20,   346.81,     338.63,   347.17,     338.20,   346.81
1985, 10,   31335, 1985.7890,   343.49,   347.30,     343.55,   347.29,     343.49,   347.30
1985, 11,   31366, 1985.8740,   347.20,   347.09,     347.57,   347.41,     347.20,   347.09
1985, 12,   31396, 1985.9562,   348.53,   345.75,     350.35,   347.54,     348.53,   345.75
1986, 01,   31427, 1986.0411,   349.53,   345.53,     351.68,   347.68,     349.53,   345.53
1986, 02,   31458, 1986.1260,   352.24,   347.67,     352.40,   347.82,     352.24,   347.67
1986, 03,   31486, 1986.2027,   354.05,   349.22,     352.77,   347.95,     354.05,   349.22
1986, 04,   31517, 1986.2877,   353.21,   348.52,     352.77,   348.08,     353.21,   348.52
1986, 05,   31547, 1986.3699,   353.90,   348.86,     353.26,   348.22,     353.90,   348.86
1986, 06,   31578, 1986.4548,   350.97,   348.36,     350.86,   348.34,     350.97,   348.36
1986, 07,   31608, 1986.5370,   344.62,   349.61,     343.33,   348.46,     344.62,   349.61
1986, 08,   31639, 1986.6219,   337.35,   348.10,     337.80,   348.58,     337.35,   348.10
1986, 09,   31670, 1986.7068,   340.78,   349.45,     340.10,   348.68,     340.78,   349.45
1986, 10,   31700, 1986.7890,   345.95,   349.79,     345.02,   348.79,     345.95,   349.79
1986, 11,   31731, 1986.8740,   348.11,   348.00,     349.05,   348.89,     348.11,   348.00
1986, 12,   31761, 1986.9562,   351.40,   348.61,     351.81,   348.99,     351.40,   348.61
1987, 01,   31792, 1987.0411,   353.01,   348.99,     353.13,   349.09,     353.01,   348.99
1987, 02,   31823, 1987.1260,   353.26,   348.66,     353.82,   349.20,     353.26,   348.66
1987, 03,   31851, 1987.2027,   354.50,   349.64,     354.16,   349.31,     354.50,   349.64
1987, 04,   31882, 1987.2877,   353.92,   349.21,     354.15,   349.43,     353.92,   349.21
1987, 05,   31912, 1987.3699,   354.89,   349.82,     354.63,   349.56,     354.89,   349.82
1987, 06,   31943, 1987.4548,   353.73,   351.10,     352.24,   349.71,     353.73,   351.10
1987, 07,   31973, 1987.5370,   344.94,   349.96,     344.70,   349.86,     344.94,   349.96
1987, 08,   32004, 1987.6219,   339.34,   350.16,     339.18,   350.03,     339.34,   350.16
1987, 09,   32035, 1987.7068,   340.74,   349.47,     341.58,   350.22,     340.74,   349.47
1987, 10,   32065, 1987.7890,   345.52,   349.38,     346.64,   350.43,     345.52,   349.38
1987, 11,   32096, 1987.8740,   349.34,   349.23,     350.82,   350.66,     349.34,   349.23
1987, 12,   32126, 1987.9562,   352.57,   349.76,     353.75,   350.91,     352.57,   349.76
1988, 01,   32157, 1988.0410,   355.14,   351.09,     355.24,   351.18,     355.14,   351.09
1988, 02,   32188, 1988.1257,   356.87,   352.23,     356.11,   351.46,     356.87,   352.23
1988, 03,   32217, 1988.2049,   356.33,   351.44,     356.62,   351.74,     356.33,   351.44
1988, 04,   32248, 1988.2896,   357.70,   352.95,     356.79,   352.03,     357.70,   352.95
1988, 05,   32278, 1988.3716,   356.68,   351.57,     357.43,   352.32,     356.68,   351.57
1988, 06,   32309, 1988.4563,   355.13,   352.59,     355.07,   352.62,     355.13,   352.59
1988, 07,   32339, 1988.5383,   347.90,   353.08,     347.59,   352.91,     347.90,   353.08
1988, 08,   32370, 1988.6230,   342.39,   353.30,     342.26,   353.20,     342.39,   353.30
1988, 09,   32401, 1988.7077,   345.55,   354.29,     344.82,   353.48,     345.55,   354.29
1988, 10,   32431, 1988.7896,   350.21,   354.06,     349.95,   353.73,     350.21,   354.06
1988, 11,   32462, 1988.8743,   354.89,   354.76,     354.16,   353.98,     354.89,   354.76
1988, 12,   32492, 1988.9563,   357.99,   355.16,     357.07,   354.20,     357.99,   355.16
1989, 01,   32523, 1989.0411,   359.81,   355.74,     358.50,   354.41,     359.81,   355.74
1989, 02,   32554, 1989.1260,   358.06,   353.39,     359.28,   354.60,     358.06,   353.39
1989, 03,   32582, 1989.2027,   359.89,   354.97,     359.69,   354.77,     359.89,   354.97
1989, 04,   32613, 1989.2877,   359.76,   354.98,     359.71,   354.93,     359.76,   354.98
1989, 05,   32643, 1989.3699,   359.48,   354.33,     360.22,   355.08,     359.48,   354.33
1989, 06,   32674, 1989.4548,   359.99,   357.33,     357.79,   355.22,     359.99,   357.33
1989, 07,   32704, 1989.5370,   352.19,   357.28,     350.12,   355.35,     352.19,   357.28
1989, 08,   32735, 1989.6219,   341.86,   352.82,     344.48,   355.47,     341.86,   352.82
1989, 09,   32766, 1989.7068,   346.23,   355.07,     346.82,   355.58,     346.23,   355.07
1989, 10,   32796, 1989.7890,   351.93,   355.84,     351.85,   355.69,     351.93,   355.84
1989, 11,   32827, 1989.8740,   355.90,   355.79,     355.96,   355.79,     355.90,   355.79
1989, 12,   32857, 1989.9562,   358.55,   355.70,     358.77,   355.89,     358.55,   355.70
1990, 01,   32888, 1990.0411,   359.38,   355.27,     360.10,   355.99,     359.38,   355.27
1990, 02,   32919, 1990.1260,   360.91,   356.21,     360.79,   356.08,     360.91,   356.21
1990, 03,   32947, 1990.2027,   361.69,   356.73,     361.12,   356.17,     361.69,   356.73
1990, 04,   32978, 1990.2877,   361.49,   356.68,     361.07,   356.26,     361.49,   356.68
1990, 05,   33008, 1990.3699,   362.15,   356.98,     361.51,   356.34,     362.15,   356.98
1990, 06,   33039, 1990.4548,   356.89,   354.22,     359.01,   356.43,     356.89,   354.22
1990, 07,   33069, 1990.5370,   351.19,   356.31,     351.25,   356.51,     351.19,   356.31
1990, 08,   33100, 1990.6219,   346.47,   357.51,     345.53,   356.59,     346.47,   357.51
1990, 09,   33131, 1990.7068,   347.41,   356.30,     347.86,   356.68,     347.41,   356.30
1990, 10,   33161, 1990.7890,   353.27,   357.20,     352.90,   356.76,     353.27,   357.20
1990, 11,   33192, 1990.8740,   356.40,   356.29,     357.01,   356.84,     356.40,   356.29
1990, 12,   33222, 1990.9562,   359.82,   356.95,     359.83,   356.93,     359.82,   356.95
1991, 01,   33253, 1991.0411,   361.35,   357.22,     361.15,   357.01,     361.35,   357.22
1991, 02,   33284, 1991.1260,   360.96,   356.23,     361.83,   357.10,     360.96,   356.23
1991, 03,   33312, 1991.2027,   362.42,   357.44,     362.16,   357.17,     362.42,   357.44
1991, 04,   33343, 1991.2877,   361.84,   357.00,     362.10,   357.26,     361.84,   357.00
1991, 05,   33373, 1991.3699,   362.16,   356.95,     362.55,   357.34,     362.16,   356.95
1991, 06,   33404, 1991.4548,   359.24,   356.55,     360.02,   357.43,     359.24,   356.55
1991, 07,   33434, 1991.5370,   352.82,   357.98,     352.21,   357.51,     352.82,   357.98
1991, 08,   33465, 1991.6219,   346.86,   357.97,     346.45,   357.59,     346.86,   357.97
1991, 09,   33496, 1991.7068,   347.73,   356.68,     348.79,   357.66,     347.73,   356.68
1991, 10,   33526, 1991.7890,   354.70,   358.66,     353.83,   357.72,     354.70,   358.66
1991, 11,   33557, 1991.8740,   359.39,   359.28,     357.94,   357.77,     359.39,   359.28
1991, 12,   33587, 1991.9562,   360.28,   357.39,     360.73,   357.81,     360.28,   357.39
1992, 01,   33618, 1992.0410,   361.98,   357.82,     362.00,   357.83,     361.98,   357.82
1992, 02,   33649, 1992.1257,   363.33,   358.58,     362.61,   357.85,     363.33,   358.58
1992, 03,   33678, 1992.2049,   362.29,   357.28,     362.87,   357.86,     362.29,   357.28
1992, 04,   33709, 1992.2896,   362.95,   358.08,     362.73,   357.85,     362.95,   358.08
1992, 05,   33739, 1992.3716,   362.45,   357.21,     363.09,   357.85,     362.45,   357.21
1992, 06,   33770, 1992.4563,   361.00,   358.40,     360.36,   357.85,     361.00,   358.40
1992, 07,   33800, 1992.5383,   353.27,   358.59,     352.38,   357.84,     353.27,   358.59
1992, 08,   33831, 1992.6230,   347.02,   358.21,     346.61,   357.84,     347.02,   358.21
1992, 09,   33862, 1992.7077,   347.56,   356.52,     348.95,   357.83,     347.56,   356.52
1992, 10,   33892, 1992.7896,   353.24,   357.19,     353.97,   357.84,     353.24,   357.19
1992, 11,   33923, 1992.8743,   356.63,   356.51,     358.04,   357.86,     356.63,   356.51
1992, 12,   33953, 1992.9563,   360.87,   357.96,     360.83,   357.89,     360.87,   357.96
1993, 01,   33984, 1993.0411,   362.78,   358.60,     362.11,   357.92,     362.78,   358.60
1993, 02,   34015, 1993.1260,   363.29,   358.50,     362.76,   357.96,     363.29,   358.50
1993, 03,   34043, 1993.2027,   363.56,   358.52,     363.05,   358.00,     363.56,   358.52
1993, 04,   34074, 1993.2877,   363.32,   358.42,     362.95,   358.04,     363.32,   358.42
1993, 05,   34104, 1993.3699,   363.73,   358.46,     363.36,   358.09,     363.73,   358.46
1993, 06,   34135, 1993.4548,   360.70,   357.97,     360.78,   358.15,     360.70,   357.97
1993, 07,   34165, 1993.5370,   351.31,   356.53,     352.85,   358.21,     351.31,   356.53
1993, 08,   34196, 1993.6219,   347.24,   358.49,     347.02,   358.29,     347.24,   358.49
1993, 09,   34227, 1993.7068,   350.60,   359.66,     349.40,   358.38,     350.60,   359.66
1993, 10,   34257, 1993.7890,   354.12,   358.13,     354.55,   358.48,     354.12,   358.13
1993, 11,   34288, 1993.8740,   358.30,   358.18,     358.76,   358.59,     358.30,   358.18
1993, 12,   34318, 1993.9562,   361.46,   358.54,     361.68,   358.72,     361.46,   358.54
1994, 01,   34349, 1994.0411,   362.15,   357.94,     363.08,   358.86,     362.15,   357.94
1994, 02,   34380, 1994.1260,   364.33,   359.52,     363.84,   359.01,     364.33,   359.52
1994, 03,   34408, 1994.2027,   365.21,   360.13,     364.24,   359.16,     365.21,   360.13
1994, 04,   34439, 1994.2877,   364.52,   359.59,     364.26,   359.33,     364.52,   359.59
