"","Yr","Mn","station","CO2_concentration","hemisphere"
"204",1962,"Jun","alt",NA,"northern"
"205",1962,"Jun","mlo",320.06,"northern"
"206",1962,"Jun","kum",NA,"northern"
"207",1962,"Jun","chr",NA,"northern"
"208",1962,"Jun","sam",NA,"southern"
"209",1962,"Jun","ker",NA,"southern"
"210",1962,"Jun","nzd",NA,"southern"
"211",1962,"Jul","alt",NA,"northern"
"212",1962,"Jul","mlo",318.01,"northern"
"213",1962,"Jul","kum",NA,"northern"
"214",1962,"Jul","chr",NA,"northern"
"215",1962,"Jul","sam",NA,"southern"
"216",1962,"Jul","ker",NA,"southern"
"217",1962,"Jul","nzd",NA,"southern"
"218",1962,"Aug","alt",NA,"northern"
"219",1962,"Aug","mlo",317.12,"northern"
"220",1962,"Aug","kum",NA,"northern"
"221",1962,"Aug","chr",NA,"northern"
"222",1962,"Aug","sam",NA,"southern"
"223",1962,"Aug","ker",NA,"southern"
"224",1962,"Aug","nzd",NA,"southern"
"225",1962,"Sep","alt",NA,"northern"
"226",1962,"Sep","mlo",315.36,"northern"
"227",1962,"Sep","kum",NA,"northern"
"228",1962,"Sep","chr",NA,"northern"
"229",1962,"Sep","sam",NA,"southern"
"230",1962,"Sep","ker",NA,"southern"
"231",1962,"Sep","nzd",NA,"southern"
"232",1962,"Oct","alt",NA,"northern"
"233",1962,"Oct","mlo",314.66,"northern"
"234",1962,"Oct","kum",NA,"northern"
"235",1962,"Oct","chr",NA,"northern"
"236",1962,"Oct","sam",NA,"southern"
"237",1962,"Oct","ker",NA,"southern"
"238",1962,"Oct","nzd",NA,"southern"
"239",1962,"Nov","alt",NA,"northern"
"240",1962,"Nov","mlo",316.94,"northern"
"241",1962,"Nov","kum",NA,"northern"
"242",1962,"Nov","chr",NA,"northern"
"243",1962,"Nov","sam",NA,"southern"
"244",1962,"Nov","ker",NA,"southern"
"245",1962,"Nov","nzd",NA,"southern"
"246",1962,"Dec","alt",NA,"northern"
"247",1962,"Dec","mlo",317.87,"northern"
"248",1962,"Dec","kum",NA,"northern"
"249",1962,"Dec","chr",NA,"northern"
"250",1962,"Dec","sam",NA,"southern"
"251",1962,"Dec","ker",NA,"southern"
"252",1962,"Dec","nzd",NA,"southern"
"253",1963,"Jan","alt",NA,"northern"
"254",1963,"Jan","mlo",318.69,"northern"
"255",1963,"Jan","kum",NA,"northern"
"256",1963,"Jan","chr",NA,"northern"
"257",1963,"Jan","sam",NA,"southern"
"258",1963,"Jan","ker",NA,"southern"
"259",1963,"Jan","nzd",NA,"southern"
"260",1963,"Feb","alt",NA,"northern"
"261",1963,"Feb","mlo",319.32,"northern"
"262",1963,"Feb","kum",NA,"northern"
"263",1963,"Feb","chr",NA,"northern"
"264",1963,"Feb","sam",NA,"southern"
"265",1963,"Feb","ker",NA,"southern"
